placeId,placeName
ChIJBUmEuv8FdkgRdW1lPgOkR0g,1910
ChIJsc02i00EdkgR7Fs9lfcfnXU,@ Bar
ChIJqYefMbUFdkgR_VyNvUd2RG0,33 Abbeville Road
ChIJLS6ewFEEdkgRtjUDFZG1lXo,64th & Social
ChIJpXdOMXEFdkgRjRrvTmeCHuQ,Adventure Bar
ChIJ0YNYUZYFdkgRngmOSyA654Q,All Bar One Clapham Junction
ChIJGbhEj4IFdkgRjo8xSKtQdRE,Amar Lebanese Kitchen (Wandsworth)
ChIJX91s61EEdkgRFolyo40-lpo,Aquum
ChIJVVUZWVAEdkgRJL-_gLipEgY,ARCH Clapham
ChIJGXqigFIEdkgRLqKb_Lt6_6s,Argan Restaurant
ChIJlY5mV3EFdkgRBn6ckFW1AMQ,Augustine Kitchen
ChIJ5fw8a00EdkgRdYsRdUbzUC8,B@1
ChIJET923pcFdkgRSguCHHPCSA0,BabaBoom Battersea
ChIJRZ15o5cFdkgR71gCPXH__DY,Banana Tree Battersea
ChIJEzjKwp8FdkgR1WShqyZsObs,Bangkok Bay
ChIJnX0_kqIFdkgRzgWwo1DtftY,Bar Social
ChIJ--jShlIEdkgR0A_9FSWHgIE,Barsito
ChIJPzZkBqMFdkgRUSjanwPITYw,Battersea Arts Centre
ChIJs30yxMYFdkgRulWapKZSawI,Battersea Brewery
ChIJed76NXMFdkgRVjjPgq8ZIxE,Battersea Park Children's Zoo
ChIJJyzkC5cFdkgRUGmfAUiYLEU,Be At One - Battersea Rise
ChIJ_asgeE0EdkgRc_V5s3b-CiA,Be At One - Clapham Common
ChIJ7UAcsHoFdkgRk21a0bqaRAg,Bella Bar & Restaurant
ChIJYeTdgFIEdkgRRpFtN1BgWRM,Berbere Clapham
ChIJe3Va2EoEdkgRUbvmmsICN1o,Bistro Union
ChIJsc02i00EdkgRe_350SMar50,Bodean's BBQ Clapham
ChIJh6fuJksEdkgRp2Jhin__oFo,Bottle Apostle
ChIJcYu8a70FdkgRvNdDwoS5Bqs,BrewDog Clapham
ChIJnWYLbU0EdkgR9UlZUpJN1K0,Brickwood
ChIJH_OerwQFdkgRyVapPuthEmw,Brio Tapas Bar & Restaurant
ChIJl4WCBhgFdkgRas8rMj23rbI,Bui Vien Restaurant
ChIJG1K_oJIFdkgRgPUVrTmzLEs,Butchies Clapham High Street
ChIJBYvxuFEEdkgRCUPh2EVZde0,Cafe Sol
ChIJjf9MIjMFdkgR0FETcycFUAQ,Camile Thai Battersea
ChIJAQBN1koEdkgRGw_ixzGsr-I,Camile Thai Clapham
ChIJjdvld00EdkgRwpb9WDRfuTI,Carmen Tapas
ChIJybz1z5kFdkgRkARSjSwRNd0,"Casa Manolo, Clapham Junction"
ChIJy5wDhwoFdkgRN1yHBG_XEa0,Chada Thai
ChIJTWz4bgQFdkgRH-MuIn2pJ90,Cher Thai Eatery
ChIJ1_8BglIEdkgRSu8f5v7ESpM,Clapham Picturehouse
ChIJvWsjWpkFdkgRIkkgnFORcqI,Curry Leaves
ChIJyZuRVlAEdkgR1TUX4ovrAQg,D Vine Cellars
ChIJa9dBHZ8FdkgRoBwYMb41Pks,Darts Club Clapham
ChIJYfesdL4FdkgR60XMAiQsZco,Deli Boutique
ChIJVWodTwgFdkgRsMBMTpa_7oc,Dhaba Indian Street Food
ChIJNYztc6MFdkgR9FjJbs-AGls,Donna Margherita
ChIJ0RcczqoFdkgRZssBQl_4FpE,Dumplings & Baos
ChIJ5xgUoWEFdkgRFjG5g-EudMM,Eat Of Eden
ChIJXzK1eVIEdkgRm4ZaMtcxtNU,Eco Restaurant
ChIJ53uDd0wPdkgRWuSvUg6005k,En Root
ChIJUcrFdVIEdkgRaTbJ_Ca5ZXw,Esca
ChIJX6I3WpkFdkgR_yAT_wNk_KI,Fish in a Tie
ChIJtzcw8PEFdkgRZrauLPG-ROc,Flavours of Brazil
ChIJb67ZF2QFdkgREKNQEWDeBsc,Fogo de Chao Brazilian Steakhouse
ChIJUVYSZVAEdkgRPRrQf2F3wEI,Fu Manchu
ChIJScceJq0FdkgRgfXhpuFFj8E,Gail's
ChIJHSvImYYFdkgRp4X4Jsv1rqI,Gazette Brasserie Battersea
ChIJKdC9r4wFdkgRa0F4PRY4tQ0,Girlfriend Clapham
ChIJS0jABgsFdkgRrOJEDDwQmfs,"Go Ape Battersea Park (Tree Top Adventure, Zip Lines, High Ropes)"
ChIJIfU16ZkFdkgRDzzc2kxRWOQ,Good Morning Vietnam Restaurant And Take Away
ChIJ9UkfrqUFdkgRvPA8Huf0L7k,Grill on the Hill
ChIJsXcy7lEEdkgRD6m-4LqLqFA,Hache Clapham
ChIJo_9UvpcFdkgRxC8tYHWhQZ4,Hana Korean Restaurant
ChIJM3AGgFIEdkgRLP1Hr8NxugE,Honest Burgers Clapham
ChIJz7lbQ7cCdkgRnyD2SzqUbig,Humble Grape
ChIJq_113pcFdkgRRAQa4feSPAw,Indian Moment
ChIJkX63D1IEdkgReGGWJjZL-mU,Infernos Nightclub
ChIJ7xGQ2ZsFdkgR-L5smOEaRDQ,Iro Sushi (Clapham)
ChIJ3-4QRpgFdkgR7Ufu_ZL5qMg,Jack's at the Junction
ChIJIcW6ek0EdkgRVDpPTHElR0M,Joe Public
ChIJyYY12o8FdkgRJHmFyMhwWHg,Kaosarn
ChIJcaiNzIQFdkgRfBEKba3yXx4,KIBOU Japanese Kitchen & Bar
ChIJ-eAvAU8EdkgR95hTlE28U8w,Knife
ChIJV_qOwFEEdkgRRmVkaeLFxDc,La Rueda
ChIJE1pFgk8EdkgRGPCWaIvsg_c,Laryn Cafe Bar
ChIJl_vXx3cFdkgR4XkGlGWQ89k,Le QuecumBar & Brasserie
ChIJbVvsgAEFdkgRsXjpn4Twm94,Leh Chalo!
ChIJH5wXxZwFdkgR9BmtYzee6bw,Libano Restaurant
ChIJc-4ZSkgFdkgRzf_ljL7pL0Q,LINNAEAN
ChIJ5be9qGIFdkgROtfrOArZ0JM,Little Dessert Shop Balham
ChIJCcWjeTcFdkgRCrl988NnnbI,London Cocktail Club - Clapham
ChIJ5dnJ6gkFdkgRY1n2pQeQMoY,Lost Society Battersea
ChIJWd1s61EEdkgRSIVFW9F7zj0,Lotus Bar
ChIJ9RqQ6ZUFdkgRKXrWO7reM0U,Macellaio RC Battersea
ChIJc0JmAVIEdkgRIdI-kacqIy0,Maharani
ChIJsYkDZk0EdkgRHBYsQs1hb2U,MamaLan
ChIJ37ukkHcFdkgRq7UEJ1_6j5I,Mazar Restaurant
ChIJgyZPwd0FdkgR-96s4Om1uEA,Mbare London
ChIJCdydQTwFdkgRLRWkVchU7NQ,Megan's Clapham Old Town Restaurant
ChIJn6EbZr0FdkgRHniNnrBipTo,Merchant of Battersea
ChIJ-deQ2LUFdkgRnk-Tu1Z33DE,Metro Garden
ChIJeUojKs4FdkgR-r4hAyt0Uj0,Meze Mazis
ChIJBU2HjqIFdkgR2ZJ6HH0eW0s,Mien Tay
ChIJxcdQV00EdkgRKQX2UVNnheE,Minnow
ChIJF3ZorVEEdkgRzeyRLe5e03g,MOMMI
ChIJe35grVIEdkgRYyOVqJShC3s,Nardulli
ChIJF-sPTa0FdkgReEuufSaj_7A,No 32 The Old Town
ChIJO4q7CZcFdkgRkho-NfLiyGU,Northcote Records
ChIJd82eyngFdkgRs_92sLyqgUY,Nue Ground
ChIJ8Snz8pUFdkgRKxzpgknUlcI,Numero Uno
ChIJf12Ofk0EdkgRFccQ4BjDC3c,O'Neill's Clapham
ChIJj2L2Q5YFdkgRVX8DMZc1Wtw,Oddono's Battersea
ChIJsfRRx_UFdkgRCi_LjVO0W0E,Old Town Tavern
ChIJM4jpB1IEdkgRsldknr7m0gw,Olives and Meze
ChIJp0ElQK0FdkgR8ZEfV_C9s5M,Omnibus Theatre
ChIJF2HPi6cFdkgRfeW3kH2b5IE,Opa-opa
ChIJXRPCrZcFdkgRqvwx1A2ue4g,Osteria Antica Bologna
ChIJXWauCIwFdkgR0oyhl-R7d7M,Osteria Toscana
ChIJCWokfaQFdkgRoQXEjWGz-yg,Palace Spice
ChIJBU2HjqIFdkgRvip03ksKWSk,Panahar Tandoori Restaurant
ChIJVfnQv5cFdkgR9ATiXhOjJmI,Pho
ChIJxWeTJOsFdkgRhFCYN0XtgRU,Pho Moc
ChIJ36C-37wFdkgRdII2sK9QmaQ,Pitta Hut Clapham
ChIJbcuN1koEdkgRfqE0R3FiLLc,Pizza Express
ChIJEYK32bUFdkgR7RcNxrLWAB4,Pizzeria On The Green
ChIJFwx0oMsFdkgRvXZ3ToVIFOc,Pizzeria Pellone London
ChIJLTOg0I8FdkgRhKeBdN2KvgY,Powderkeg
ChIJK65fPq0FdkgRX8n_FL5qWmg,Prince of Wales
ChIJ82LqlQUFdkgRU9nnDRZ-9Jo,Pump House Gallery
ChIJx06B-lEEdkgRK3xOidYORTk,Revolution London - Clapham High St
ChIJX91s61EEdkgRBnbAp8dqRvk,Rodizio Brazil
ChIJ2-sWiqUFdkgRfiehNC7hyVA,Room 43 bar Clapham
ChIJk4LKrSQFdkgRvc5OWWccBUE,Rosa's Thai Cafe
ChIJ9essiFAEdkgRjHVr-hCfOOE,Sappho Meze Bar
ChIJy7irilAEdkgRXj-CykX5nsg,Savannah
ChIJA5tRgocFdkgRjNe76G-pl5g,Siam Brasserie
ChIJ3fpU55cFdkgR3-fHCVX5Wig,Sinabro Restaurant
ChIJcSENBb0FdkgR5xdElKaxQ_Q,Soif
ChIJ_8jBIVIEdkgRVpCMg_y7ISI,Sorella
ChIJ5YHmdk0EdkgRERv3BigoPaU,South Side Cafe SW4
ChIJoXZQv5kFdkgREnrPURr9VXc,Sports Bar & Grill Clapham Junction
ChIJ2fTw4EUFdkgRmwK2LWcn9nQ,St Clair
ChIJR20mYZkFdkgR3OxxfKxok8E,Suburb SW11 Bar & Dining
ChIJ-WA1kqIFdkgR1DNItOUl3rQ,Sugar Cane Bar
ChIJieYeSJ4FdkgRlqHNECqpR8E,Sushi Cafe
ChIJSQ6TFGQFdkgRkSA7jXxkoV4,SweetSmile Bakery & Patisserie
ChIJx5JhDYMFdkgRSntpwZPz-sE,Ta-Maki Sushi Battersea
ChIJa4eabFkFdkgRuN-QL7s42ns,Tapas Brindisa Battersea
ChIJrzeWNsUFdkgRcaapkOj5rKg,Taro - Balham
ChIJi3F0wpcFdkgRdbECfmuqc7o,Tequila Mockingbird Clapham Junction
ChIJC324v5cFdkgRxxZ4dNFrrD8,Thai Garden
ChIJy0vpc1AEdkgRLytQuUvVcJM,Thats It Grill London
ChIJfRJrFVYFdkgRJp3XCwm2dl4,The Abbeville
ChIJY9Thc00EdkgRgvsx6E0alKA,The Alexandra
ChIJP1VDwskFdkgRuEghk9bLICU,The Avalon
ChIJ42CkrY8FdkgRQNocLApP9m8,The Beehive
ChIJBbrwgk0EdkgRwcTBlRfokPw,The Belle Vue
ChIJqZOpkqwFdkgRLRYmwl30pUo,The Bobbin
ChIJs_2I178FdkgRroKSB0z1p5g,The Bolingbroke
ChIJJ_K-uFMEdkgRXGHvRYp6eJQ,The Bread & Roses
ChIJvZviab0FdkgR8w4do7vbgy4,The Breakfast Club
ChIJ74IAAFEEdkgRumQhfkGHklA,The Bridge Bar
ChIJkxJl-JkFdkgRAYUgM8Qigiw,The Clapham Grand
ChIJ7Th4JVIEdkgRorIP0zFMzeM,The Clapham Tap
ChIJhaxqqE8EdkgRPeRSzKoGYSw,The Coach & Horses
ChIJf57blk0EdkgRdixpBNG71bs,The Common Espresso Bar London
ChIJ98G0cRQFdkgRzbg7vUcmmPo,The Fat Crab
ChIJESD07KIFdkgR4Z_mpA-l1gU,The Four Thieves
ChIJkZbsj04EdkgRGsJAWbn1z04,The King & Co
ChIJfTLTQb0FdkgRtQlr2PHBoZo,The King of Ladies Man
ChIJQ0a_6J8FdkgRHC5tuXadPso,The Latchmere
ChIJReVIkyMFdkgRspwFOXL9vJc,The Little Orange Door
ChIJswZMtAcFdkgRD8YIJsrmXqY,The Magic Garden
ChIJRWNGE00EdkgRwyaONRrJ4A8,The Pepper Tree
ChIJHc02i00EdkgRZs4pZUxzZFE,The Railway Tavern
ChIJt9oG0qwFdkgR6KvI5xcZhN8,The Rectory
ChIJD7xaY7QFdkgRJDGa8QHlIqA,The Rookery
ChIJkcCP2Y8FdkgRUbVmUXUHHL8,The Schoolhouse
ChIJMZ5IQ1IEdkgRfb9X8C3zTgk,The Stonhouse
ChIJc_g0NK0FdkgRCZ-vyr8ehh4,The Sun
ChIJr8ZEbM8FdkgRB5V2Vi27c40,The Umi
ChIJ-xcUUiUFdkgRzdC8WHo_HNA,The Urban Greek
ChIJCU-e1qwFdkgRubgjJOgJAzA,The Yard Clapham
ChIJVVWgwpcFdkgRBlmwGlNETVo,Three Little Birds
ChIJhUIMJ0sEdkgR-95chMd-lss,Tokyo Retro
ChIJYy_6qAQFdkgRpfV6fOqblek,Tonkotsu Battersea
ChIJwc6R65kFdkgRPRljqtkwh90,Tortilla Clapham
ChIJHdc2Rq0FdkgRNkQ9YeRS1ig,Trinity
ChIJlcLPUukFdkgRDpTFJXxzQrY,Tropix
ChIJsdJAU1AEdkgRlBEM_EzxetI,Tsunami
ChIJJ1FreaMFdkgRdsV95JmnXao,Tumnan Thai
ChIJ69q0AlIEdkgR_Wzl956w0ws,Two Brewers
ChIJcyl2p5cFdkgRB1au2_YKIGk,Vagabond Northcote
ChIJISgwSmUFdkgR4q_G5K9Zs70,Vegan Dough Co
ChIJ5w6wgVIEdkgRiRkNkm9cL0Q,Venn Street Market
ChIJy8eivVIEdkgREjk7nBxCDcA,Venn Street Records
ChIJM4FqcE0EdkgR3QvqdMOj3Mk,WC Wine & Charcuterie
ChIJyznCQvEFdkgR4y9RRdsc7Go,Yano Sushi
ChIJfSv8i08FdkgRZ2zcqaZpmUs,YORI (Clapham Junction)
ChIJC-WxO60FdkgRy-fqIDRCsMM,Zumbura
